Industry,avg_rs_3m,avg_rs_6m,avg_daily_score,avg_weekly_score,avg_combined_score,stock_count,actionable_daily,actionable_weekly,strong_combined,rs_score,rs_rank,current_rank,prev_rank,prev_avg_combined_score,prev_rs_rank,prev_strong_combined,prev_actionable_daily,prev_actionable_weekly,rank_change,combined_score_change,strong_combined_change,actionable_daily_change,actionable_weekly_change,new_cluster
Forest Materials,8.623333333333333,21.07,45.82,44.00333333333333,45.00333333333333,3,0,1,0,14.846666666666668,77.27272727272727,1,1,44.38,77.27272727272727,0,0,1,0,0.62,0,0,0,False
Textiles,11.31875,20.09125,41.189375,43.301874999999995,42.140625,16,0,3,0,15.704999999999998,86.36363636363636,2,2,42.95625,86.36363636363636,0,0,2,0,-0.82,0,0,1,False
Healthcare,7.695757575757576,28.521818181818183,42.28651515151515,39.89439393939394,41.21030303030303,66,0,19,0,18.10878787878788,90.9090909090909,3,3,42.50121212121212,90.9090909090909,1,1,20,0,-1.29,-1,-1,-1,False
Automobile and Auto Components,12.930816326530612,18.091632653061225,39.277755102040814,39.874489795918365,39.54734693877551,49,0,18,0,15.511224489795918,81.81818181818183,4,4,39.23408163265306,81.81818181818183,0,0,15,0,0.31,0,0,3,False
Realty,5.633333333333334,3.2744444444444447,30.933888888888887,43.83166666666667,36.739444444444445,18,0,4,0,4.453888888888889,45.45454545454545,5,5,37.24,40.909090909090914,0,0,4,0,-0.5,0,0,0,False
Financial Services,2.7292173913043474,8.316347826086956,33.54686956521739,40.152521739130435,36.519652173913045,115,0,26,0,5.5227826086956515,59.09090909090909,6,6,36.427130434782605,63.63636363636363,0,0,28,0,0.09,0,0,-2,False
"Oil, Gas & Consumable Fuels",8.004736842105263,9.918421052631578,31.958421052631582,38.94631578947369,35.103157894736846,19,0,2,0,8.96157894736842,68.18181818181817,7,8,34.33611111111111,59.09090909090909,0,0,4,1,0.77,0,0,-2,False
"Media, Entertainment & Publication",-1.2900000000000003,0.34818181818181804,26.99181818181818,41.88181818181818,33.692727272727275,11,0,2,0,-0.4709090909090911,13.636363636363635,8,7,35.00272727272728,27.27272727272727,0,0,3,-1,-1.31,0,0,-1,False
Utilities,10.645,26.67,35.745000000000005,30.25,33.275,2,0,0,0,18.6575,95.45454545454545,9,11,33.305,95.45454545454544,0,0,0,2,-0.03,0,0,0,False
Consumer Durables,4.252195121951219,4.1814634146341465,30.863414634146345,36.211951219512194,33.270487804878044,41,0,7,0,4.216829268292683,40.909090909090914,10,9,34.300487804878045,50.0,0,0,8,-1,-1.03,0,0,-1,False
Capital Goods,2.4622018348623853,21.727614678899084,32.607798165137616,32.61073394495413,32.60954128440367,109,1,12,1,12.094908256880734,72.72727272727273,11,10,33.327798165137615,72.72727272727273,0,0,12,-1,-0.72,1,1,0,False
Chemicals,2.1317857142857144,14.11125,31.635178571428572,32.440714285714286,31.998392857142857,56,0,7,0,8.121517857142857,63.63636363636363,12,13,32.739285714285714,68.18181818181817,0,0,8,1,-0.74,0,0,-1,False
Services,3.670666666666667,6.1979999999999995,25.209333333333333,35.93533333333333,30.036333333333335,30,0,2,0,4.934333333333333,50.0,13,15,29.861666666666668,54.54545454545454,0,0,2,2,0.17,0,0,0,False
Fast Moving Consumer Goods,-3.772727272727273,5.003409090909091,29.285,30.18840909090909,29.69181818181818,44,0,3,0,0.6153409090909092,18.181818181818183,14,14,30.234318181818185,18.181818181818183,0,0,3,0,-0.54,0,0,0,False
Telecommunication,3.2550000000000003,45.09083333333333,25.265,32.62833333333333,28.578333333333333,12,0,0,0,24.172916666666666,100.0,15,12,33.300000000000004,100.0,0,0,1,-3,-4.72,0,0,-1,False
Information Technology,7.717105263157895,2.6552631578947365,25.02605263157895,32.84315789473684,28.544473684210526,38,0,1,0,5.186184210526315,54.54545454545454,16,18,28.084736842105265,45.45454545454545,0,0,1,2,0.46,0,0,0,False
Consumer Services,6.2625,1.0937500000000002,22.628999999999998,34.4075,27.93,40,0,4,0,3.678125,36.36363636363637,17,17,28.72325,36.36363636363637,0,0,4,0,-0.79,0,0,0,False
Metals & Mining,-6.441904761904762,8.758571428571429,28.232857142857142,25.581428571428575,27.03952380952381,21,0,2,0,1.1583333333333337,22.727272727272727,18,16,29.169047619047618,13.636363636363637,0,0,2,-2,-2.13,0,0,0,False
Diversified,-2.1625,6.69,36.18,15.8125,27.015,4,0,0,0,2.26375,27.27272727272727,19,19,27.0675,31.818181818181817,0,0,0,0,-0.05,0,0,0,False
Power,-9.376842105263158,13.94894736842105,27.45421052631579,23.315263157894737,25.591578947368422,19,0,0,0,2.2860526315789462,31.818181818181817,20,21,25.57631578947368,22.727272727272727,0,0,1,1,0.02,0,0,-1,False
Construction,-7.934074074074074,-1.5366666666666664,19.87,32.37518518518519,25.497037037037035,27,0,1,0,-4.7353703703703705,9.090909090909092,21,22,25.537777777777777,9.090909090909092,0,0,2,1,-0.04,0,0,-1,False
Construction Materials,-6.225333333333333,-7.536666666666666,21.317999999999998,29.116666666666667,24.828666666666667,15,0,0,0,-6.881,4.545454545454546,22,20,27.016,4.545454545454546,0,0,2,-2,-2.19,0,0,-2,False
